LGA,Region,Sector,Contractor_ID,Contractor_Completed,Contractor_Abandoned,Contractor_Score,Amount,Duration_Days,Project_Status
Jos North,South West,Health,C009,4,1,0.6,46885.1,171,On Time
Nsukka,North East,Education,C004,4,0,0.8,22051.6,148,Delayed
Ilorin,South South,Health,C014,5,1,0.67,17538.23,95,Delayed
Bwari,North Central,Health,C007,4,1,0.6,21748.68,162,Delayed
Nsukka,South South,Electricity,C001,9,0,0.9,13659.25,245,Abandoned
Ilorin,South West,Education,C018,5,1,0.67,16340.39,85,Abandoned
Owerri,South East,Education,C019,4,1,0.6,49773.66,233,On Time
Yenagoa,North East,Health,C014,6,1,0.71,23678.75,168,On Time
Eket,North East,Roads,C007,3,0,0.75,94330.44,200,Abandoned
Eket,North Central,Health,C013,6,0,0.86,12266.53,242,Delayed
Jos North,North West,Roads,C020,7,0,0.88,62851.92,199,On Time
Yenagoa,South West,Health,C015,1,0,0.5,40743.01,195,Delayed
Ilorin,South East,Health,C003,8,0,0.89,26052.14,131,On Time
Ilorin,South West,Roads,C020,3,0,0.75,35575.01,154,Delayed
Eket,North East,Electricity,C003,6,1,0.71,42008.61,179,On Time
Bwari,North West,Education,C003,3,0,0.75,16553.95,146,Delayed
Nsukka,South East,Health,C009,5,2,0.5,15742.87,208,On Time
Abeokuta,North East,Roads,C012,4,1,0.6,58525.47,106,On Time
Eket,South West,Education,C009,7,2,0.62,12085.07,251,On Time
Jos North,South West,Electricity,C006,5,1,0.67,37426.65,106,On Time
Ilorin,North East,Education,C015,3,0,0.75,44573.54,236,On Time
Owerri,South West,Roads,C018,7,0,0.88,61256.59,165,On Time
Nsukka,North Central,Roads,C008,7,1,0.75,30359.43,224,On Time
Bwari,South East,Roads,C009,4,1,0.6,51472.75,285,On Time
Jos North,South South,Education,C011,10,2,0.73,70678.11,243,On Time
Nsukka,South East,Water,C015,2,0,0.67,14778.96,89,On Time
Lokoja,North East,Roads,C008,1,0,0.5,53537.49,83,On Time
Ilorin,North West,Electricity,C019,4,0,0.8,34639.55,115,On Time
Owerri,South East,Electricity,C012,6,0,0.86,86004.95,229,On Time
Nsukka,South South,Education,C016,3,0,0.75,47157.41,231,On Time
Jos North,North Central,Health,C005,7,0,0.88,13699.8,235,Delayed
Lokoja,South South,Water,C003,4,0,0.8,45180.86,226,Delayed
Owerri,South South,Water,C015,3,1,0.5,97528.76,259,On Time
Ilorin,South South,Roads,C001,10,0,0.91,28739.71,183,Delayed
Jos North,North West,Electricity,C011,3,1,0.5,40313.82,142,Delayed
Jos North,South East,Roads,C006,9,0,0.9,42517.29,138,On Time
Abeokuta,South West,Health,C009,8,2,0.67,48568.16,167,On Time
Ilorin,South South,Education,C004,9,2,0.7,27392.57,143,Delayed
Yenagoa,South South,Electricity,C007,5,1,0.67,20299.52,179,On Time
Lokoja,North East,Roads,C018,3,2,0.25,24451.4,192,Delayed
Ilorin,South South,Health,C011,7,2,0.62,74295.33,151,Delayed
Abeokuta,North Central,Health,C012,2,0,0.67,26799.23,179,On Time
Yenagoa,North Central,Education,C008,6,2,0.57,47633.8,271,Abandoned
Sokoto North,North Central,Health,C016,7,1,0.75,34770.07,239,On Time
Jos North,North East,Electricity,C005,4,0,0.8,30641.27,238,Delayed
Abeokuta,North East,Electricity,C009,9,2,0.7,42065.55,292,On Time
Ilorin,South East,Electricity,C007,8,0,0.89,75611.48,151,Abandoned
Ilorin,South West,Education,C010,8,2,0.67,39708.79,198,On Time
Owerri,South East,Roads,C017,6,1,0.71,54496.17,112,On Time
Abeokuta,North East,Health,C008,2,0,0.67,67938.7,189,On Time
Jos North,North Central,Roads,C019,1,0,0.5,16853.42,221,On Time
Ilorin,South South,Education,C008,8,2,0.67,14464.81,57,On Time
Bwari,South West,Health,C002,5,0,0.83,27194.93,80,Delayed
Nsukka,North Central,Health,C011,5,0,0.83,15319.46,209,Delayed
Jos North,North East,Electricity,C009,2,0,0.67,18711.73,146,On Time
Abeokuta,South South,Education,C005,3,1,0.5,131014.45,182,On Time
Sokoto North,South East,Electricity,C008,5,1,0.67,30611.34,166,On Time
Abeokuta,North East,Water,C004,2,1,0.33,104739.61,165,On Time
Jos North,North West,Water,C014,4,0,0.8,16766.99,184,Delayed
Owerri,South West,Water,C002,6,1,0.71,21060.49,115,On Time
Jos North,South East,Health,C011,4,0,0.8,24328.46,274,On Time
Jos North,North East,Education,C007,2,0,0.67,12441.07,213,Delayed
Ilorin,North East,Water,C014,5,0,0.83,18541.13,147,On Time
Lokoja,South East,Roads,C008,6,1,0.71,39100.18,196,Delayed
Jos North,South South,Water,C004,4,0,0.8,19408.65,71,Delayed
Bwari,North Central,Electricity,C003,2,0,0.67,232442.81,83,On Time
Nsukka,South East,Education,C016,6,2,0.57,66980.73,145,On Time
Abeokuta,South East,Education,C002,3,1,0.5,37293.18,185,Delayed
Lokoja,North Central,Water,C013,5,1,0.67,21842.09,215,On Time
Yenagoa,North West,Water,C014,5,1,0.67,27796.61,258,Delayed
Ilorin,North East,Water,C007,5,1,0.67,61848.48,185,On Time
Yenagoa,North Central,Education,C019,5,0,0.83,65114.38,184,On Time
Ilorin,South West,Health,C011,4,1,0.6,25964.53,229,Delayed
Bwari,South South,Health,C016,6,2,0.57,56254.84,124,On Time
Ilorin,North East,Electricity,C002,5,1,0.67,17750.43,40,On Time
Ilorin,North East,Health,C003,9,0,0.9,115297.36,215,On Time
Sokoto North,South West,Health,C008,3,0,0.75,195798.05,211,Delayed
Owerri,South South,Health,C008,6,0,0.86,60133.83,40,Delayed
Sokoto North,North Central,Electricity,C020,4,1,0.6,5013.73,176,Delayed
Jos North,South West,Water,C019,5,1,0.67,18927.63,170,Delayed
Sokoto North,North West,Electricity,C009,4,0,0.8,200126.32,113,On Time
Nsukka,North East,Roads,C009,6,0,0.86,26052.63,157,On Time
Owerri,South West,Education,C010,3,0,0.75,31110.49,181,On Time
